invoice_id,invoice_number,invoice_date,issuer_name,recipient_name,line_items_count,accounting_summary_count,vat_rows_count,total_net,total_vat,total_gross,currency,created_at,updated_at,issuer_siren,issuer_ape,issuer_ape_source,recipient_siren,recipient_ape,recipient_ape_source
fr_bd_519665103:29017d1b-bfb8-492d-940c-9bb11257cc1c,24308,10/01/2024,ETABLISSEMENTS LAROCHE,SCI EB,2,2,2,25.51,3.25,28.76,EUR,,,304668858,4669C,invoice_form,844820100,,
fr_bd_519665103:985de3cc-b0fb-4c6a-b644-0940cd1287f0,24308,10/01/2024,ETABLISSEMENTS LAROCHE,SCI EB,2,2,2,25.51,3.25,28.76,EUR,,,304668858,4669C,siren_map_partition,844820100,,
fr_bd_519665103:b0a0d14b-2338-407c-b274-aaf2b4d7b9d9,05886164/73235/0074/C61/1,10/01/2024,LEFORT & RAIMBERT,BOUCHERIE MOUAD,1,1,1,5024.9,1004.98,6029.88,EUR,,,562129635,,,519665103,4722Z,siren_map_partition
fr_bd_519665103:cf45994d-f9d3-4e90-8ed6-84c5552e62d1,FV2401-03883,10/01/2024,AVIGROS,MOUAD,10,1,2,287.0,15.93,302.93,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:01628eaa-6ceb-488e-8140-8d7d7d4a9a89,1830504,11/01/2024,BBV,MOUAD,3,1,1,451.2,24.82,478.49,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:0c2cc8d1-5307-412f-99ea-249be3bf58cb,FV2401-04501,11/01/2024,AVIGROS,MOUAD,10,1,1,773.99,42.57,816.56,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:1fa088a2-1f5a-41b5-a5c7-277d685679c8,1830506,11/01/2024,BBV,MOUAD,6,1,1,1946.23,107.21,2053.44,EUR,,,392806741,4632A,siren_map_partition,519665103,4722Z,siren_map_partition
fr_bd_519665103:45c56387-c07c-4751-97a3-6c541adeb22b,1830505,11/01/2024,BBV,MOUAD,1,1,1,1158.3,63.81,1222.11,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:5d02253d-a6e5-4c47-b448-e29e291259a3,327125,11/01/2024,POMMIER TREPIN COUSIN,INCONNU,2,2,2,49.53,2.74,52.27,EUR,,,562048314,4632A,siren_map_partition,,,
fr_bd_519665103:84535d04-3417-430f-ad97-7a9ad22ced58,327122,11/01/2024,POMMIER TREPIN COUSIN,INCONNU,7,2,2,245.67,13.7,260.34,EUR,,,562048314,4632A,siren_map_partition,,,
fr_bd_519665103:a70c1a7e-0c0c-47d4-b6db-77d923cd91b2,1830507,11/01/2024,BBV,MOUAD,4,1,1,2573.43,141.54,2714.97,EUR,,,392806741,4632A,siren_map_partition,519665103,4722Z,siren_map_partition
fr_bd_519665103:c143105b-703c-4a72-8550-09ad4b7400f2,327124,11/01/2024,POMMIER TREPIN COUSIN,MOUAD,1,2,2,48.42,2.68,51.1,EUR,,,562048314,4632A,siren_map_partition,519665103,4722Z,siren_map_partition
fr_bd_519665103:44d6ee70-a106-4fe6-9c12-0e044629ebc5,1830805,12/01/2024,BBV,MOUAD,1,3,1,174.64,0.0,185.32,EUR,,,392806741,4632A,siren_map_partition,519665103,4722Z,siren_map_partition
fr_bd_519665103:5677cc5c-14f6-4aa3-9307-11197f0c9b4e,327268,12/01/2024,POMMIER TREPIN COUSIN,MOUAD,7,2,2,189.89,10.55,200.44,EUR,,,562048314,4632A,siren_map_partition,519665103,4722Z,siren_map_partition
fr_bd_519665103:834e8468-4ed8-419d-a6bf-e0c28b5f330b,FV2401-05217,12/01/2024,AVIGROS,MOUAD,11,2,2,972.08,54.46,1026.54,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:1fe83737-fbad-4902-82d1-8d3f27eb3613,327395,15/01/2024,POMMIER TREPIN COUSIN,INCONNU,5,1,2,118.32,6.58,125.23,EUR,,,562048314,4632A,siren_map_partition,,,
fr_bd_519665103:2ec32ec4-af66-4b48-bd28-2add9e1536e6,FV2401-06082,15/01/2024,AVIGROS,MOUAD,5,1,1,273.39,15.04,291.17,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:57691999-fb1e-4ad6-b6b5-1966b344337b,1831360,15/01/2024,BBV,MOUAD,1,1,1,147.95,8.16,156.11,EUR,,,392806741,4632A,siren_map_partition,519665103,4722Z,siren_map_partition
fr_bd_519665103:75334608-dc1c-4605-bb88-1b7ca0b5b8fd,FA1661087,15/01/2024,TADCOFRANCE,MOUAD,28,2,2,1307.68,26.23,1333.91,EUR,,,519665103,4722Z,siren_map_partition,519665103,4722Z,siren_map_partition
fr_bd_519665103:8a93439c-88b3-4da1-ac86-b5bc937f207c,1831362,15/01/2024,BBV,MOUAD,1,2,1,373.69,20.89,394.58,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:a5a61f8e-cc68-488a-92a0-48a9f12ef08d,1831363,15/01/2024,BBV,MOUAD,1,2,1,1070.28,0.0,1132.57,EUR,,,392806741,4632A,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:d7dbb04a-fb3e-4d70-9a7a-852eb9a88817,FA1661087,15/01/2024,TRADCO FRANCE,MOUAD,2,1,2,3060.67,179.87,3240.54,EUR,,,442947859,,,519665103,4722Z,siren_map_partition
fr_bd_519665103:f11739e3-377a-4fe4-8dde-5597a9b0103a,FA1661087,15/01/2024,RADCOFRANCE,MOUAD,33,1,2,1441.49,29.54,1471.03,EUR,,,,,,519665103,4722Z,siren_map_partition
fr_bd_519665103:f201992c-f9a5-41b4-8edf-d862584d1855,1831361,15/01/2024,BBV,MOUAD,2,1,1,1476.84,81.36,1558.2,EUR,,,392806741,4632A,siren_map_partition,519665103,4722Z,siren_map_partition
