item_id,occurrences,canonical_label,source_label_main,proposed_account,tva_main,ape_supplier_main,ape_client_main,decision_keep_or_exclude,corrected_category,corrected_account,corrected_canonical_label,tva_rule_note,comment
mrn_0178,1,tas tamarin jus 24x310ml thailande,TAS TAMARIN JUS 24X310ML THAILANDE,707100,5.5,4631Z,,,,,,,
mrn_0179,1,fanta 24x500ml nigeria,FANTA 24X500ML NIGERIA,707100,5.5,4631Z,,,,,,,
mrn_0180,1,jus bissap x 25cl france,JUS BISSAP 24 X 25CL FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0181,1,bonus conso hiver,Bonus Conso Hiver 2022/2023,706,20.0,4520A,,,,,,,
mrn_0182,1,gingembre hache congeler x 500gr prodi,GINGEMBRE HACHE CONGELER 25 X 500GR (PRODI),707100,5.5,4631Z,,,,,,,
mrn_0183,1,sole congele 10kg senegal,SOLE CONGELE 10kg SENEGAL,707100,5.5,4631Z,,,,,,,
mrn_0184,1,samoussas poulet 580gr fs france,SAMOUSSAS AU POULET 580GR FS FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0185,1,samoussaau boeuf 580gr fs france,SAMOUSSAAU BOEUF 580GR FS FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0186,1,kaolin 5kg cote d ivoire,KAOLIN 5KG COTE D IVOIRE,707100,5.5,4631Z,,,,,,,
mrn_0187,1,pate d arachide pcd 12x500gr hollande,PATE D'ARACHIDE PCD 12X500GR HOLLANDE,707100,5.5,4631Z,,,,,,,
mrn_0188,1,avocat 4kg bresil,AVOCAT 4KG BRESIL,707100,5.5,4631Z,,,,,,,
mrn_0189,1,vimto 5lx12espagne,VIMTO 0.5LX12ESPAGNE,70710000,5.5,4631Z,,,,,,,
mrn_0190,1,vimto 5lx12 espagne,VIMTO 0.5LX12 ESPAGNE,70710000,5.5,4631Z,,,,,,,
mrn_0191,1,citron jaune espagne,CITRON JAUNE ESPAGNE,70710000,5.5,4631Z,,,,,,,
mrn_0192,1,semoule de ble blanche n 5kg,SEMOULE DE BLE BLANCHE N°1 5KG YA PEMBE BELGIQUE,70710000,5.5,4631Z,,,,,,,
mrn_0193,1,pate d arachide exo 5kg france,PATE D'ARACHIDE EXO 2.5KG FRANCE,70710000,5.5,4631Z,,,,,,,
mrn_0194,1,pate d arachide pcd 12x500gr hollande,PATE D'ARACHIDE PCD 12X500GR HOLLANDE,70710000,5.5,4631Z,,,,,,,
mrn_0195,1,vimto 2lx6 espagne,VIMTO 2LX6 ESPAGNE,70710000,5.5,4631Z,,,,,,,
mrn_0196,1,sauce graine de palme nkulenu 12x780gr,SAUCE GRAINE DE PALME NKULENU 12X780GR GHANA,70710000,5.5,4631Z,,,,,,,
mrn_0197,1,pate d arachide dakatine grand 6x850gr,PATE D'ARACHIDE DAKATINE GRAND 6X850GR FRANCE,70710000,5.5,4631Z,,,,,,,
mrn_0198,1,fecule de pomme de terre 5kg,FECULE DE POMME DE TERRE 5KG FRANCE,70710000,5.5,4631Z,,,,,,,
mrn_0199,1,mayonnaise bama petit 12x473 usa,MAYONNAISE BAMA PETIT 12X473 USA,70710000,5.5,4631Z,,,,,,,
mrn_0200,1,gari blanc 20x1kg togo,GARI BLANC 20X1KG TOGO,70710000,5.5,4631Z,,,,,,,
