source_file,output_file,action,bucket,article_source_before,article_source_after,account_before,account_after,details,target_file
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,SOLDE CHARGES 2024 Du 01/01/2024 Au 31/12/2024,SOLDE CHARGES 2024 Du 01/01/2024 Au 31/12/2024,6132,6132,"['solde', 'charges', '2024', '01', '01', '2024'] -> ['solde', 'charges']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,SOLDE CHARGES 2024 Du 01/01/2024 Au 31/12/2024,SOLDE CHARGES 2024 Du 01/01/2024 Au 31/12/2024,6132,6132,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,SOLDE CHARGES LOCATIVES 2023 Du 01/01/2023 Au 31/12/2023,SOLDE CHARGES LOCATIVES 2023 Du 01/01/2023 Au 31/12/2023,613,613,"['solde', 'charges', 'locatives', '2023', '01', '01'] -> ['solde', 'charges', 'locatives']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,SOLDE CHARGES LOCATIVES 2023 Du 01/01/2023 Au 31/12/2023,SOLDE CHARGES LOCATIVES 2023 Du 01/01/2023 Au 31/12/2023,613,613,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Total Port,Total Port,624,624,"classification_reason,classification_version",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Livraison,Livraison,6226,6226,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,Indemnité forfaitaire frais de recouvrement 40 EUR (article D4415 Code du commerce),Indemnité forfaitaire frais de recouvrement 40 EUR (article D4415 Code du commerce),6278,6278,"['indemnite', 'forfaitaire', 'frais', 'recouvrement', '40', 'eur'] -> ['indemnite', 'forfaitaire', 'frais', 'recouvrement', 'article', 'd4415', 'code', 'commerce']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Indemnité forfaitaire frais de recouvrement 40 EUR (article D4415 Code du commerce),Indemnité forfaitaire frais de recouvrement 40 EUR (article D4415 Code du commerce),6278,6278,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Commission sur vente EQUIPE SEM,Commission sur vente EQUIPE SEM,6227,6227,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Commission sur vente LeParisien,Commission sur vente LeParisien,6227,6227,classification_version,
