item_id,occurrences,canonical_label,source_label_main,proposed_account,tva_main,ape_supplier_main,ape_client_main,decision_keep_or_exclude,corrected_category,corrected_account,corrected_canonical_label,tva_rule_note,comment
mrn_0122,3,gombo agrolulo 4kg espagne,GOMBO AGROLULO 4KG ESPAGNE,601,5.5,4631Z,,,,,,,
mrn_0123,3,cive x14 cebette egypte,CIVE X14 (CEBETTE) EGYPTE,6011,5.5,4631Z,,,,,,,
mrn_0124,3,pomme de terre 5kg pdt france,POMME DE TERRE 5KG PDT FRANCE,607,5.5,4631Z,,,,,,,
mrn_0125,3,pimentantillais 3kg espagne,PIMENTANTILLAIS 3KG ESPAGNE,601,5.5,4631Z,,,,,,,
mrn_0126,3,avocat 4kg bresil,AVOCAT 4KG BRESIL,601,5.5,4631Z,,,,,,,
mrn_0127,3,arachide frais 5kg togo,ARACHIDE FRAIS 5KG TOGO,60110000,5.5,4631Z,,,,,,,
mrn_0128,3,concombre espagne,CONCOMBRE ESPAGNE,601,5.5,4631Z,,,,,,,
mrn_0129,3,tomate vrac maroc,TOMATE VRAC MAROC,601,5.5,4631Z,,,,,,,
mrn_0130,3,huile de tournesol 3x5l ukraine,HUILE DE TOURNESOL 3X5L UKRAINE,60120000,5.5,4631Z,,,,,,,
mrn_0131,3,oignon jaune 5kg france,OIGNON JAUNE 5KG FRANCE,6011,5.5,4631Z,,,,,,,
mrn_0132,3,spring roll pastry pate a samoussa,SPRING ROLL pastry Pate a Samoussa 30 pcs/sht x 550g SPRING HOME DS27,601,5.5,511N,,,,,,,
mrn_0133,2,merou wgs 5kg m vrac x,MEROU WGS 3-5kg M vrac x PF INDE/INDO G11 G6 G8,6011,5.5,511N,,,,,,,
mrn_0134,2,tablette maggi chicken poulet 24x60x10g cote,TABLETTE MAGGI CHICKEN POULET 24X60X10G COTE D IVOIRE,6011,5.5,4631Z,,,,,,,
mrn_0135,2,vitamalt gingembre 24x33cl danemark,VITAMALT GINGEMBRE 24X33CL DANEMARK,6011,5.5,4631Z,,,,,,,
mrn_0136,2,pois d angole congele prodi perou,POIS D'ANGOLE CONGELE PRODI PEROU,6011,5.5,4631Z,,,,,,,
mrn_0137,2,vivaneau blanc colas file rose e,"VIVANEAU BLANC / COLAS FILE ""rose"" E/V 3-5kg vrac X PF JF3 950 10 25KG_YEMEN_21/3 DLUO30/04/25 Zone de péche : OCEAN INDIEN FAO 51",607,5.5,511N,,,,,,,
mrn_0138,2,nems crevette poulet pcs scht x,NEMS CREVETTE/POULET 50 pcs/scht x 2kg HALAL FOO SENG 6SCHT_FRANCE_48/8 31/03/25,607,5.5,511N,,,,,,,
mrn_0139,2,gombo 5kg honduras,GOMBO 5KG HONDURAS,60110000,5.5,4631Z,,,,,,,
mrn_0140,2,courbine nanka videe ecaillee 400g vrac,COURBINE NANKA vidée écaillée 200-400g vrac x 5kg,6011,5.5,511N,,,,,,,
mrn_0141,2,nems de poulet pcs scht x,NEMS de POULET 50 pcs/scht x 2kg -HALAL FOO,6011,5.5,511N,,,,,,,
