file,metier,article,action,old_account,new_account,reason
base_produits_restaurant_clean_v2.json,restaurant,LIPTON PECHE BTE 33CL SLIM,clean_or_account_fix,6068,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,COCA COLA 33cl x 24 EU,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,HARICOTS VERTS E.F.2.5KG MC,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,MC TOMATES CONCASSEES 4/4,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,ARO DECAPANT FOUR DEGRAIS 5L,clean_or_account_fix,6063,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,HUILE DE TOURNESOL BINGOIL 1L,clean_or_account_fix,6061,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,MERGUEZ DE BOEUF/AGN HALAL,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,BAV ALOY HAL UE,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,COEUR RTK 2.5KG+ HAL UE,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,TENDERS NATURE 1KG KFC HALAL,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,ORANGINA SLIM BOITE JAUN 33CL,clean_or_account_fix,6068,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,COCA SANS SUCRES 33CL,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,TORTILLA ANTALYA 30CM 90G 18PCS,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,FANTA FRAISE KIWI EU 33CL*24,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,TRESOR CHOCOLAT AU LAIT 1KG,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,BOURSIN CUISINE 1KG,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,OASIS ICE TEA MNG/PASS BT33CL,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,PANÉ DE VOLAILLE HALAL UE MILANESE,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,50 COUV CRIST POT ROND,clean_or_account_fix,6063,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,EAU CRISTALINE 50CL,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,MARINADE BBQ,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,MC MOUTARDE DIJON 5KG,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,TOMATE ORIGINE ESPAGNE/MAROC AU KG CAT 1 (6KGLE COLIS),clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,BAVETTE D'ALOYAU PAD,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,CREME LIQUIDE PRESIDENT18% 1L,clean_or_account_fix,601,601,keywords/account normalized
