article_source,normalized_label,invoice_count,line_occurrences,sample_account,predicted_sous_profil,predicted_nature_charge,predicted_profil_facturation,classification_reason,already_in_base,partitions
FONDANT SEAU EN 15 KG,fondant seau en 15 kg,8,8,6061,autres_charges_externes,frais,forfait_ou_frais,fallback,False,fr_bd_880517875
FROMAGE BLANC 2.8%MG SEAU 5KG,fromage blanc 2 8 mg seau 5kg,8,8,6061,autres_charges_externes,frais,forfait_ou_frais,fallback,False,fr_bd_880517875 | fr_bd_890233000
Fonds de garantie Attentats,fonds de garantie attentats,8,8,616000,assurances,prime,prime_et_periode,keyword_or_account:assurance,False,fr_bd_828612630 | fr_bd_891370595
Forfait 2h 100 Mo,forfait 2h 100 mo,8,8,606100,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_842785719
Forfait Spécial client 20Go 5G Av. smartphone,forfait special client 20go 5g av smartphone,8,8,6226,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_831060876
GARDE - Droit de garde,garde droit de garde,8,8,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_837602275
IBAFF,ibaff,8,8,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
INTERB FR,interb fr,8,8,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_828612630 | fr_bd_837602275
Interbev Ovin AM,interbev ovin am,8,8,6351,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
L'EQUIPE SEMAINE,l equipe semaine,8,8,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
MC OLIV.NOIRES RONDELLE A10,mc oliv noires rondelle a10,8,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
MELANGE 5 GRAINES 10KG,melange 5 graines 10kg,8,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Marché de capacité,marche de capacite,8,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
NAPPAGE BLOND PRO SEAU 14 KG,nappage blond pro seau 14 kg,8,8,6061,autres_charges_externes,frais,forfait_ou_frais,fallback,False,fr_bd_880517875
OEUF COQUILLE TEINTE GROS 63/73 CT 360,oeuf coquille teinte gros 63 73 ct 360,8,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000
OEUF COQUILLE TEINTE MOYEN 53/63 CT 360,oeuf coquille teinte moyen 53 63 ct 360,8,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000
Option Connect Premium,option connect premium,8,8,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_831060876
POULET ESCALOPE CRU 190G X5KG HALAL,poulet escalope cru 190g x5kg halal,8,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Paiement carte bancaire,paiement carte bancaire,8,8,62780000,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_519665103 | fr_bd_839181104 | fr_bd_903252617
Participation énergie,participation energie,8,8,6068,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_828612630 | fr_bd_837602275 | fr_bd_880517875
SUCRE CRISTAL SAC 25KG,sucre cristal sac 25kg,8,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
"Services, prestations et frais annexes - Assistance Pro 24/24",services prestations et frais annexes assistance pro 24 24,8,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_929728467
BAV ALOY HAL UE,bav aloy hal ue,7,15,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
"FRAIS REJET PRELEVEMENT (eX0) (11,25 EUR *)",frais rejet prelevement ex0 11 25 eur,7,13,62780000,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_880517875
BOX 100 C.BLUE CAFFE CREMA,box 100 c blue caffe crema,7,11,60620000,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_880517875
"EAU PERRIER NATURE,8X20CL",eau perrier nature 8x20cl,7,10,6068,energie_et_utilites,energie,abonnement_et_consommation,keyword:eau,False,fr_bd_890233000
FRITES,frites,7,9,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_519665103 | fr_bd_839181104 | fr_bd_844858571 | fr_bd_891370595 | fr_bd_903252617
Composante de soutirage Heures Creuses Hiver,composante de soutirage heures creuses hiver,7,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
Composante de soutirage Heures Pleines Hiver,composante de soutirage heures pleines hiver,7,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
ABATS + INTERBEV CARCASSE ABATS,abats interbev carcasse abats,7,7,6011,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
